,f1_score,precision,recall,support,accuracy
related,0.9674615002483854,0.9553593328427765,0.979874213836478,3975.0,0.9496734537072609
request,0.8877131099353323,0.9767141009055628,0.8135775862068966,928.0,0.9633115635804841
offer,0.6956521739130436,1.0,0.5333333333333333,15.0,0.9986553976181329
aid_related,0.9175967703633342,0.9461312438785504,0.8907330567081605,2169.0,0.9333461390703035
medical_help,0.826923076923077,0.9772727272727273,0.7166666666666667,420.0,0.9757971571263926
medical_products,0.7893462469733656,0.9939024390243902,0.6546184738955824,249.0,0.9832885132539377
search_and_rescue,0.7542372881355932,0.9888888888888889,0.6095890410958904,146.0,0.9888590088359586
security,0.7325581395348836,0.9692307692307692,0.5887850467289719,107.0,0.9911640414905878
military,0.7905405405405405,0.9512195121951219,0.6763005780346821,173.0,0.9880906646177487
child_alone,0.0,0.0,0.0,0.0,1.0
water,0.8861646234676007,0.98828125,0.8031746031746032,315.0,0.9875144064540914
food,0.9199255121042831,0.9762845849802372,0.8697183098591549,568.0,0.9834805993084902
shelter,0.883495145631068,0.9604221635883905,0.8179775280898877,445.0,0.9815597387629658
clothing,0.8396946564885496,0.9821428571428571,0.7333333333333333,75.0,0.9959661928543988
money,0.7692307692307692,0.9859154929577465,0.6306306306306306,111.0,0.9919323857087975
missing_people,0.7636363636363637,1.0,0.6176470588235294,68.0,0.9950057625816365
refugees,0.7574750830564784,1.0,0.6096256684491979,187.0,0.9859777180176719
death,0.827906976744186,0.9888888888888889,0.712,250.0,0.9857856319631195
other_aid,0.792079207920792,0.9815950920245399,0.6639004149377593,723.0,0.9515943142527853
infrastructure_related,0.7712177121771218,0.990521327014218,0.6314199395770392,331.0,0.9761813292354975
transport,0.8063063063063062,0.9944444444444445,0.678030303030303,264.0,0.9834805993084902
buildings,0.8459869848156183,0.9898477157360406,0.7386363636363636,264.0,0.9863618901267768
electricity,0.7938144329896908,1.0,0.6581196581196581,117.0,0.9923165578179024
tools,0.8518518518518519,1.0,0.7419354838709677,31.0,0.9984633115635805
hospitals,0.7865168539325843,1.0,0.6481481481481481,54.0,0.9963503649635036
shops,0.8292682926829268,1.0,0.7083333333333334,24.0,0.9986553976181329
aid_centers,0.5714285714285715,1.0,0.4,55.0,0.9936611601997695
other_infrastructure,0.8119891008174387,1.0,0.6834862385321101,218.0,0.9867460622358817
weather_related,0.922425952045134,0.9631811487481591,0.8849797023004059,1478.0,0.9577410679984633
floods,0.8951406649616368,0.9831460674157303,0.8215962441314554,426.0,0.9842489435267
storm,0.9139784946236559,0.9681093394077449,0.8655804480651731,491.0,0.9846331156358048
fire,0.787878787878788,1.0,0.65,60.0,0.9959661928543988
earthquake,0.9418221734357849,0.975,0.910828025477707,471.0,0.9898194391087207
cold,0.845360824742268,0.9761904761904762,0.7454545454545455,110.0,0.9942374183634268
other_weather,0.8059701492537313,0.9792746113989638,0.6847826086956522,276.0,0.982520169035728
direct_report,0.8574490889603429,0.9615384615384616,0.7736943907156673,1034.0,0.948905109489051
micro avg,0.8961738065306386,0.9656825286557833,0.8359995188838104,16628.0,
macro avg,0.8011123174375305,0.9556528593254358,0.6985141938025914,16628.0,
weighted avg,0.8914848661373399,0.9676148761613357,0.8359995188838104,16628.0,
samples avg,0.6831322981360721,0.7355244863984779,0.6640400449380754,16628.0,
