,message_raw,message_tok
0,We need the international community to help us but in a way that we'd like. ,"['we', 'need', 'international', 'community', 'help', 'u', 'way', 'like']"
1,"In some places, saline aquifers overlie fresh water aquifers; in other places it is the reverse.","['in', 'place', 'saline', 'aquifer', 'overlie', 'fresh', 'water', 'aquifer', 'place', 'reverse']"
2,"The International Committee of the Red Cross is carrying out a massive distribution of food and seeds in Ghor province this month, while MSF has begun targeted feeding of children in highly vulnerable areas in Badghis.","['the', 'international', 'committee', 'red', 'cross', 'carrying', 'massive', 'distribution', 'food', 'seed', 'ghor', 'province', 'month', 'msf', 'begun', 'targeted', 'feeding', 'child', 'highly', 'vulnerable', 'area', 'badghis']"
3,"Digicel, the company without limitation. ","['digicel', 'company', 'without', 'limitation']"
4,Coastal Storm Early-Warning System in Vietnam: USAID/OFDA provides funding to the UNDP for the implementation of a radio-based coastal warning system.,"['coastal', 'storm', 'early', 'warning', 'system', 'vietnam', 'usaid', 'ofda', 'provides', 'funding', 'undp', 'implementation', 'radio', 'based', 'coastal', 'warning', 'system']"
5,Help World Relief respond to the #Haiti earthquake. http bit.ly 4LFBK8 via WorldRelief,"['help', 'world', 'relief', 'respond', 'haiti', 'earthquake', 'http', 'bit', 'ly', '4lfbk8', 'via', 'worldrelief']"
6,"ok, I will keep my promise, If you write me I will not take care about you, I will give you no responses. ","['ok', 'i', 'keep', 'promise', 'if', 'write', 'i', 'take', 'care', 'i', 'give', 'response']"
7,"In the north of the country, the six-kilometre wide river in Sariakandi sub-district has subdivided into several narrow and meandering flows that crisscross the now dry river bed, while the rest of the river has turned into huge sand dunes and sand bars dotted with makeshift homes, cows, water buffalo and green patches of rice paddies.","['in', 'north', 'country', 'six', 'kilometre', 'wide', 'river', 'sariakandi', 'sub', 'district', 'subdivided', 'several', 'narrow', 'meandering', 'flow', 'crisscross', 'dry', 'river', 'bed', 'rest', 'river', 'turned', 'huge', 'sand', 'dune', 'sand', 'bar', 'dotted', 'makeshift', 'home', 'cow', 'water', 'buffalo', 'green', 'patch', 'rice', 'paddy']"
8,"I don't know if i can suggest you, I see the bridge of the croix-des-missions reprents a big risk for all the people who pass on it. ","['i', 'know', 'suggest', 'i', 'see', 'bridge', 'croix', 'de', 'mission', 'reprents', 'big', 'risk', 'people', 'pas']"
9,"help us because we don't have anything to function with, its true we need advice to protect ourselves and if we protect those who need help around us in these times ( truncated ) ","['help', 'u', 'anything', 'function', 'true', 'need', 'advice', 'protect', 'protect', 'need', 'help', 'around', 'u', 'time', 'truncated']"
