,idf_weights
people,3.2799361653042225
food,3.2874762575775107
water,3.3299947391990647
help,3.3968393064911666
need,3.4154816573004463
please,3.6062256804690977
earthquake,3.6542029025565257
area,3.8306713153006053
u,3.859587001909777
like,3.874789997429434
would,3.911189162979687
said,3.994916201694381
country,4.097933548743644
know,4.189209324519731
also,4.234509083749394
government,4.287086899829301
information,4.293534375420272
haiti,4.307866868321048
one,4.321077100057854
000,4.354886946474174
rain,4.38703506784965
flood,4.404227468390024
house,4.408572152994035
year,4.41002458607435
find,4.415855506385142
tent,4.430583313095386
good,4.471467129506793
family,4.493343001863517
aid,4.5028668833747725
relief,4.517324966550003
day,4.568788604179597
affected,4.568788604179597
two,4.598177063179097
get,4.603454120279942
supply,4.624845310261259
child,4.635714982498163
thank,4.635714982498163
sandy,4.641194448262788
many,4.650394145161211
region,4.669051402765755
health,4.678512211269984
urlplaceholder,4.691909540841804
well,4.691909540841804
message,4.709402698289322
work,4.713331976429211
school,4.721237155936325
since,4.745334707515385
state,4.778395569776274
home,4.780498619973052
1,4.7826061023126165
new,4.791080729303589
2,4.8017760184203375
shelter,4.808248532925955
time,4.810415381011045
want,4.827921298524659
city,4.836790536265439
emergency,4.843494471987629
give,4.843494471987629
go,4.845739141841453
victim,4.845739141841453
disaster,4.852503541929995
community,4.859314010932522
province,4.861594513631247
village,4.868467392919009
including,4.8893740777383226
hit,4.908331991482937
road,4.9155349037769955
district,4.92765626430934
million,4.935000238565099
last,4.942398546046544
send,4.957361418723256
could,4.9674625147097595
international,4.975105864022328
support,4.9853887309779115
local,4.998392815401118
storm,5.001014048880992
power,5.006277218925267
part,5.014224280617799
still,5.016887398037283
disease,5.024919569734547
week,5.024919569734547
3,5.035730485838762
5,5.035730485838762
make,5.049410589742843
due,5.052169212181922
hurricane,5.066077642228055
system,5.0716956345322775
take,5.0716956345322775
team,5.083027200541828
river,5.085880269524234
http,5.091610944233219
live,5.094488644060834
thanks,5.094488644060834
heavy,5.103171766634295
crop,5.103171766634295
street,5.109002686945088
three,5.114867806397486
assistance,5.114867806397486
santiago,5.123730493655332
may,5.132672431030993
month,5.132672431030993
service,5.138678455091205
job,5.1416950486306305
say,5.144720769547168
port,5.156916042640986
life,5.172372300877678
number,5.178622321222849
problem,5.178622321222849
destroyed,5.1817620412275165
effort,5.19124078518206
come,5.19124078518206
medical,5.19124078518206
national,5.200810236198211
note,5.2040205118284595
official,5.213713641034119
north,5.230080618498325
4,5.233386406632824
building,5.2400309493514925
nation,5.2400309493514925
south,5.2433698506170066
person,5.246719937502289
place,5.253453969683633
anything,5.267059621739412
high,5.267059621739412
quake,5.273932501027174
group,5.277386735895261
around,5.277386735895261
first,5.280852943871747
living,5.287821613187841
camp,5.287821613187841
united,5.291324243739043
response,5.294839185846487
world,5.298366526364456
7,5.298366526364456
10,5.305458754673948
much,5.305458754673948
project,5.3161923103170565
condition,5.319795917820355
lot,5.330685317619623
tsunami,5.334341628822734
woman,5.334341628822734
hospital,5.341694603127992
thousand,5.341694603127992
already,5.349102044405854
report,5.349102044405854
au,5.352826443496837
flooding,5.356564765607444
weather,5.356564765607444
provide,5.360317115225994
distribution,5.364083598021471
drought,5.367864320861377
working,5.371659391829929
level,5.379293016685
situation,5.383131792992166
organization,5.398635979528131
way,5.410423935280173
prince,5.410423935280173
authority,5.41836048487591
pakistan,5.422352506145447
population,5.422352506145447
call,5.422352506145447
agency,5.430384677842711
care,5.434425087379716
caused,5.434425087379716
reported,5.434425087379716
red,5.438481888075331
according,5.438481888075331
going,5.442555213462966
left,5.442555213462966
even,5.446645198714491
8,5.454875697851007
see,5.454875697851007
security,5.479981618982084
received,5.479981618982084
humanitarian,5.488492308649992
operation,5.488492308649992
made,5.492774970441993
12,5.492774970441993
near,5.492774970441993
de,5.492774970441993
across,5.4970760523413835
important,5.4970760523413835
6,5.5013957134859
today,5.5013957134859
