,message_raw,message_tok
0,"Located on a major fault line in the region called the 'Pacific Ring of Fire', Indonesia is one of the most disaster-prone countries in the world.","['located', 'major', 'fault', 'line', 'region', 'called', 'pacific', 'ring', 'fire', 'indonesia', 'one', 'disaster', 'prone', 'country', 'world']"
1,"NOTES: The message come in a languagge i don't speak, and i can't understand..","['notes', 'the', 'message', 'come', 'languagge', 'speak', 'understand']"
2,"Two zoos in the city are taking precautions against the typhoon, caging the animals, cutting off electricity to prevent fire outbreaks and deploying more staff overnight.","['two', 'zoo', 'city', 'taking', 'precaution', 'typhoon', 'caging', 'animal', 'cutting', 'electricity', 'prevent', 'fire', 'outbreak', 'deploying', 'staff', 'overnight']"
3,Unique Hospital Centre is affording too much people already!!,"['unique', 'hospital', 'centre', 'affording', 'much', 'people', 'already']"
4,"At st Martin Street entrance Mariella street we need help we have no house, we need water, food. thanks","['at', 'st', 'martin', 'street', 'entrance', 'mariella', 'street', 'need', 'help', 'house', 'need', 'water', 'food', 'thanks']"
5,"NOTES: This message is incomplete, I Can't translate it.","['notes', 'this', 'message', 'incomplete', 'i', 'can', 'translate']"
6,I need some information on how to behave after this earthquake. ,"['i', 'need', 'information', 'behave', 'earthquake']"
7,"The NWFP branch of the Pakistan Red Crescent has already provided 20 tents, 200 blankets, 960 metres of unstitched cloth and 200 towels to Mansehra district.","['the', 'nwfp', 'branch', 'pakistan', 'red', 'crescent', 'already', 'provided', '20', 'tent', '200', 'blanket', '960', 'metre', 'unstitched', 'cloth', '200', 'towel', 'mansehra', 'district']"
8,"As the season's first snow falls in Kashmir, Oxfam warns that winter could cut off help for thousands of earthquake survivors within the next few weeks.","['as', 'season', 'first', 'snow', 'fall', 'kashmir', 'oxfam', 'warns', 'winter', 'could', 'cut', 'help', 'thousand', 'earthquake', 'survivor', 'within', 'next', 'week']"
9,"On 31 January 2004, at 16.10 WITA deep volcanic earthquake recorded followed by harmonic tremor 2 hours later, and booming noise explosion earthquake occurred 4 hours later.","['on', '31', 'january', '2004', '16', '10', 'wita', 'deep', 'volcanic', 'earthquake', 'recorded', 'followed', 'harmonic', 'tremor', '2', 'hour', 'later', 'booming', 'noise', 'explosion', 'earthquake', 'occurred', '4', 'hour', 'later']"
10,"( truncated ) food, water, medecine, tent, engineer for the supervision of the house","['truncated', 'food', 'water', 'medecine', 'tent', 'engineer', 'supervision', 'house']"
11,Loved this place as a kid. Damn #sandy @catalina Beach club http://t.co/xEf5AnkQ,"['loved', 'place', 'kid', 'damn', 'sandy', 'catalina', 'beach', 'club', 'urlplaceholder']"
12,The organization has also taken over the management of the burial teams and the national ambulance service dedicated to getting suspected patients to testing centers and confirmed cases to treatment centers.,"['the', 'organization', 'also', 'taken', 'management', 'burial', 'team', 'national', 'ambulance', 'service', 'dedicated', 'getting', 'suspected', 'patient', 'testing', 'center', 'confirmed', 'case', 'treatment', 'center']"
13,"I am a rural inhabitant from Bon Repos, not far from La Plaine. In that area, we did not receive any help from the authorities. We have a lot of children who sleep outside openly and/or in the rain. Please we need tent for shelter.","['i', 'rural', 'inhabitant', 'bon', 'repos', 'far', 'la', 'plaine', 'in', 'area', 'receive', 'help', 'authority', 'we', 'lot', 'child', 'sleep', 'outside', 'openly', 'rain', 'please', 'need', 'tent', 'shelter']"
14,"i'm asking for help to this valley especially Santo, Sath, B","['asking', 'help', 'valley', 'especially', 'santo', 'sath', 'b']"
15,"Give up,i ask you to send me some money you didn,t send it. ","['give', 'ask', 'send', 'money', 'send']"
16,The STPS has an installed capacity of 3000 mw.,"['the', 'stps', 'installed', 'capacity', '3000', 'mw']"
17,The EU EOM has already followed closely the early stages of the process with an advance team deployed in November and December to assess the political parties' primaries and the voter registration.,"['the', 'eu', 'eom', 'already', 'followed', 'closely', 'early', 'stage', 'process', 'advance', 'team', 'deployed', 'november', 'december', 'ass', 'political', 'party', 'primary', 'voter', 'registration']"
18,In what degree did the two retorts pass this mornig? ,"['in', 'degree', 'two', 'retort', 'pas', 'mornig']"
19,There are many people badly wounded who had to go who can not eat.,"['there', 'many', 'people', 'badly', 'wounded', 'go', 'eat']"
20,It is too early to be able to predict changes in the Influenza A(H1N1) virus as it continues to circulate in humans or how similar a mutated virus might be to the current virus.,"['it', 'early', 'able', 'predict', 'change', 'influenza', 'a', 'h1n1', 'virus', 'continues', 'circulate', 'human', 'similar', 'mutated', 'virus', 'might', 'current', 'virus']"
21,Is there hurricane in this moment ,"['is', 'hurricane', 'moment']"
22,this message is not correct to translate. ,"['message', 'correct', 'translate']"
23,Ministry for the public health. ,"['ministry', 'public', 'health']"
24,Can help collect and distribute food/supplies .,"['can', 'help', 'collect', 'distribute', 'food', 'supply']"
25,"During May, UNICEF and partners closely monitored the changing environmental conditions in the Central and Southern Region of Somalia, as the Gu rainy season was underway bringing heavy rains to the country and to nearby Ethiopia and threatening to cause significant flooding along the Shabelle River.","['during', 'may', 'unicef', 'partner', 'closely', 'monitored', 'changing', 'environmental', 'condition', 'central', 'southern', 'region', 'somalia', 'gu', 'rainy', 'season', 'underway', 'bringing', 'heavy', 'rain', 'country', 'nearby', 'ethiopia', 'threatening', 'cause', 'significant', 'flooding', 'along', 'shabelle', 'river']"
26,IS IT HEALTHY TO USE INSECTICIDE AGAINS MOSKITOES UNDER THE TEENS WERE BABIES ARE? ,"['is', 'it', 'healthy', 'to', 'use', 'insecticide', 'agains', 'moskitoes', 'under', 'the', 'teens', 'were', 'babies', 'are']"
27,How Meteorological history is for to day ,"['how', 'meteorological', 'history', 'day']"
28,"Hi, United Nations please I would like to go in a other country to live there how can you help me please ","['hi', 'united', 'nations', 'please', 'i', 'would', 'like', 'go', 'country', 'live', 'help', 'please']"
29,why they don't tell me : come to take a visa? i am living in the bad country. i don't find food how i am going at the toilet? ,"['tell', 'come', 'take', 'visa', 'living', 'bad', 'country', 'find', 'food', 'going', 'toilet']"
30,where can I go to deposer a cv for work? ,"['i', 'go', 'deposer', 'cv', 'work']"
