,message
0,8
1,2
2,3
3,14
4,8
5,3
6,4
7,7
8,6
9,15
10,6
11,7
12,18
13,8
14,10
15,26
16,18
17,7
18,5
19,6
20,9
21,4
22,6
23,7
24,16
25,3
26,12
27,10
28,8
29,15
30,10
31,12
32,9
33,15
34,8
35,14
36,5
37,8
38,6
39,24
40,11
41,6
42,4
43,8
44,4
45,12
46,18
47,5
48,16
49,10
50,6
51,11
52,11
53,6
54,22
55,9
56,19
57,4
58,8
59,8
60,7
61,7
62,7
63,6
64,11
65,8
66,5
67,14
68,7
69,11
70,14
71,12
72,11
73,16
74,7
75,6
76,25
77,15
78,10
79,6
80,21
81,17
82,13
83,12
84,5
85,10
86,11
87,7
88,26
89,15
90,7
91,25
92,8
93,9
94,13
95,10
96,4
97,6
98,10
99,18
100,25
101,20
102,10
103,14
104,5
105,18
106,18
107,11
108,19
109,11
110,13
111,7
112,15
113,6
114,12
115,6
116,12
117,10
118,10
119,3
120,14
121,11
122,21
123,6
124,8
125,25
126,7
127,19
128,11
129,8
130,14
131,9
132,5
133,14
134,6
135,16
136,11
137,6
138,14
139,8
140,17
141,6
142,9
143,11
144,6
145,6
146,5
147,15
148,7
149,10
150,9
151,10
152,13
153,11
154,19
155,5
156,16
157,8
158,20
159,6
160,3
161,13
162,13
163,15
164,18
165,9
166,19
167,6
168,12
169,11
170,20
171,11
172,20
173,22
174,17
175,6
176,4
177,3
178,20
179,19
180,16
181,7
182,10
183,9
184,13
185,13
186,11
187,8
188,17
189,9
190,9
191,13
192,19
193,11
194,9
195,12
196,18
197,23
198,16
199,20
200,3
201,4
202,17
203,13
204,24
205,17
206,19
207,20
208,14
209,17
210,16
211,17
212,9
213,25
214,16
215,14
216,14
217,9
218,19
219,31
220,12
221,6
222,21
223,25
224,20
225,19
226,4
227,15
228,18
229,15
230,10
231,9
232,6
233,7
234,10
235,8
236,5
237,9
238,17
239,10
240,15
241,9
242,13
243,5
244,16
245,11
246,10
247,10
248,4
249,13
250,13
251,12
252,11
253,6
254,5
255,5
256,6
257,10
258,12
259,7
260,6
261,9
262,12
263,13
264,13
265,18
266,18
267,11
268,5
269,15
270,10
271,29
272,14
273,15
274,6
275,8
276,11
277,8
278,7
279,15
280,12
281,10
282,15
283,11
284,21
285,12
286,14
287,20
288,8
289,5
290,11
291,13
292,10
293,20
294,17
295,13
296,7
297,7
298,19
299,6
300,9
301,5
302,8
303,10
304,4
305,24
306,20
307,19
308,10
309,10
310,10
311,24
312,17
313,5
314,11
315,14
316,14
317,7
318,6
319,18
320,13
321,21
322,16
323,9
324,6
325,17
326,10
327,17
328,25
329,10
330,23
331,15
332,13
333,4
334,13
335,4
336,8
337,18
338,29
339,4
340,18
341,21
342,15
343,5
344,18
345,16
346,14
347,8
348,4
349,26
350,19
351,6
352,18
353,6
354,9
355,13
356,4
357,15
358,25
359,11
360,9
361,30
362,21
363,34
364,6
365,7
366,8
367,6
368,6
369,18
370,8
371,17
372,8
373,15
374,34
375,12
376,4
377,15
378,15
379,28
380,14
381,4
382,12
383,15
384,13
385,8
386,15
387,12
388,20
389,9
390,10
391,10
392,9
393,16
394,10
395,5
396,26
397,25
398,15
399,9
400,36
401,32
402,10
403,11
404,6
405,15
406,11
407,7
408,9
409,9
410,8
411,12
412,8
413,6
414,18
415,5
416,13
417,14
418,9
419,9
420,9
421,4
422,12
423,17
424,8
425,9
426,20
427,14
428,8
429,5
430,11
431,20
432,7
433,15
434,8
435,8
436,14
437,16
438,17
439,12
440,13
441,7
442,19
443,9
444,6
445,11
446,10
447,9
448,15
449,13
450,3
451,4
452,11
453,10
454,6
455,10
456,11
457,17
458,3
459,6
460,6
461,18
462,9
463,6
464,7
465,5
466,12
467,17
468,15
469,15
470,5
471,12
472,14
473,17
474,9
475,7
476,13
477,5
478,13
479,6
480,20
481,4
482,14
483,14
484,6
485,23
486,11
487,8
488,11
489,8
490,17
491,16
492,16
493,14
494,17
495,5
496,14
497,7
498,17
499,11
500,6
501,4
502,6
503,12
504,11
505,14
506,15
507,12
508,26
509,10
510,12
511,9
512,4
513,14
514,14
515,14
516,10
517,21
518,24
519,4
520,7
521,11
522,8
523,12
524,14
525,19
526,18
527,8
528,24
529,13
530,18
531,5
532,12
533,14
534,10
535,5
536,6
537,13
538,8
539,13
540,6
541,10
542,10
543,10
544,4
545,14
546,4
547,4
548,6
549,4
550,8
551,7
552,19
553,21
554,15
555,9
556,19
557,17
558,27
559,14
560,11
561,18
562,6
563,15
564,18
565,14
566,24
567,26
568,25
569,13
570,17
571,19
572,8
573,12
574,6
575,17
576,21
577,8
578,12
579,13
580,6
581,7
582,12
583,4
584,23
585,10
586,10
587,22
588,13
589,27
590,5
591,7
592,8
593,18
594,13
595,9
596,6
597,5
598,7
599,12
600,6
601,16
602,8
603,14
604,12
605,29
606,16
607,6
608,13
609,18
610,11
611,4
612,17
613,5
614,15
615,4
616,15
617,12
618,11
619,8
620,14
621,3
622,9
623,9
624,6
625,12
626,8
627,13
628,15
629,15
630,14
631,6
632,12
633,7
634,31
635,4
636,9
637,7
638,7
639,21
640,4
641,4
642,14
643,66
644,11
645,16
646,9
647,9
648,11
649,15
650,16
651,10
652,7
653,11
654,11
655,7
656,9
657,8
658,34
659,21
660,14
661,6
662,6
663,15
664,4
665,9
666,11
667,14
668,20
669,12
670,19
671,5
672,8
673,15
674,7
675,9
676,10
677,16
678,9
679,6
680,8
681,4
682,21
683,6
684,5
685,3
686,5
687,9
688,10
689,7
690,16
691,14
692,18
693,8
694,27
695,14
696,10
697,7
698,8
699,21
700,27
701,8
702,14
703,14
704,8
705,7
706,13
707,6
708,15
709,4
710,9
711,12
712,14
713,18
714,10
715,5
716,16
717,5
718,8
719,10
720,13
721,15
722,5
723,9
724,17
725,9
726,7
727,10
728,14
729,7
730,7
731,22
732,6
733,10
734,10
735,7
736,6
737,10
738,5
739,4
740,10
741,11
742,12
743,7
744,10
745,14
746,16
747,18
748,8
749,22
750,11
751,11
752,6
753,23
754,20
755,10
756,9
757,22
758,8
759,17
760,9
761,13
762,7
763,15
764,12
765,19
766,8
767,9
768,12
769,12
770,8
771,9
772,8
773,10
774,18
775,4
776,4
777,8
778,19
779,9
780,20
781,14
782,21
783,13
784,15
785,7
786,21
787,20
788,7
789,21
790,10
791,7
792,17
793,12
794,8
795,3
796,11
797,12
798,4
799,13
800,7
801,9
802,7
803,7
804,7
805,18
806,18
807,12
808,15
809,8
810,9
811,9
812,17
813,4
814,8
815,12
816,9
817,16
818,11
819,30
820,10
821,25
822,16
823,10
824,11
825,17
826,9
827,6
828,22
829,15
830,19
831,16
832,11
833,9
834,13
835,7
836,14
837,20
838,17
839,21
840,14
841,9
842,17
843,10
844,6
845,6
846,6
847,13
848,14
849,21
850,13
851,8
852,15
853,6
854,12
855,7
856,27
857,6
858,11
859,18
860,12
861,8
862,8
863,11
864,10
865,5
866,18
867,13
868,21
869,17
870,7
871,6
872,15
873,15
874,24
875,23
876,7
877,4
878,15
879,16
880,10
881,15
882,26
883,10
884,15
885,11
886,7
887,12
888,16
889,11
890,17
891,15
892,10
893,3
894,15
895,8
896,10
897,17
898,21
899,6
900,15
901,6
902,21
903,3
904,5
905,15
906,10
907,5
908,16
909,6
910,4
911,38
912,16
913,24
914,14
915,7
916,14
917,9
918,13
919,26
920,7
921,14
922,14
923,16
924,10
925,7
926,8
927,11
928,17
929,13
930,4
931,12
932,7
933,11
934,7
935,13
936,18
937,5
938,16
939,8
940,20
941,7
942,19
943,14
944,13
945,12
946,7
947,6
948,17
949,8
950,17
951,12
952,19
953,6
954,12
955,9
956,6
957,11
958,5
959,11
960,4
961,14
962,18
963,4
964,5
965,3
966,11
967,5
968,20
969,18
970,8
971,6
972,5
973,11
974,7
975,14
976,12
977,4
978,16
979,17
980,9
981,9
982,15
983,7
984,15
985,9
986,12
987,8
988,7
989,14
990,3
991,7
992,9
993,10
994,6
995,10
996,8
997,15
998,13
999,19
1000,14
1001,12
1002,4
1003,7
1004,18
1005,16
1006,10
1007,8
1008,15
1009,22
1010,5
1011,16
1012,10
1013,15
1014,18
1015,21
1016,14
1017,19
1018,19
1019,10
1020,7
1021,10
1022,11
1023,11
1024,16
1025,9
1026,10
1027,4
1028,13
1029,13
1030,11
1031,13
1032,13
1033,17
1034,17
1035,10
1036,8
1037,19
1038,4
1039,17
1040,6
1041,11
1042,16
1043,16
1044,19
1045,21
1046,14
1047,11
1048,19
1049,12
1050,11
1051,5
1052,14
1053,4
1054,10
1055,10
1056,5
1057,15
1058,9
1059,6
1060,8
1061,12
1062,22
1063,5
1064,7
1065,6
1066,11
1067,10
1068,16
1069,9
1070,12
1071,8
1072,5
1073,4
1074,16
1075,18
1076,11
1077,8
1078,9
1079,17
1080,14
1081,10
1082,14
1083,17
1084,17
1085,7
1086,7
1087,2
1088,21
1089,18
1090,11
1091,7
1092,10
1093,6
1094,8
1095,27
1096,22
1097,8
1098,6
1099,6
1100,19
1101,5
1102,5
1103,10
1104,4
1105,17
1106,17
1107,9
1108,14
1109,8
1110,11
1111,17
1112,10
1113,17
1114,7
1115,2
1116,11
1117,5
1118,5
1119,3
1120,3
1121,11
1122,4
1123,10
1124,9
1125,7
1126,10
1127,13
1128,10
1129,6
1130,13
1131,18
1132,13
1133,6
1134,13
1135,10
1136,3
1137,11
1138,7
1139,15
1140,15
1141,15
1142,10
1143,19
1144,9
1145,13
1146,6
1147,6
1148,10
1149,6
1150,7
1151,8
1152,19
1153,6
1154,8
1155,12
1156,8
1157,7
1158,8
1159,10
1160,5
1161,7
1162,10
1163,11
1164,9
1165,20
1166,7
1167,15
1168,8
1169,18
1170,15
1171,4
1172,11
1173,5
1174,8
1175,5
1176,15
1177,6
1178,5
1179,18
1180,20
1181,7
1182,16
1183,8
1184,6
1185,10
1186,18
1187,10
1188,13
1189,8
1190,5
1191,18
1192,26
1193,8
1194,8
1195,10
1196,11
1197,13
1198,8
1199,14
1200,7
1201,7
1202,4
1203,7
1204,4
1205,10
1206,11
1207,7
1208,8
1209,10
1210,28
1211,9
1212,10
1213,8
1214,13
1215,13
1216,14
1217,5
1218,8
1219,5
1220,7
1221,4
1222,6
1223,14
1224,12
1225,21
1226,6
1227,8
1228,6
1229,7
1230,9
1231,10
1232,14
1233,11
1234,8
1235,25
1236,20
1237,14
1238,18
1239,6
1240,11
1241,9
1242,14
1243,10
1244,16
1245,10
1246,15
1247,7
