,message
9821,12
9822,16
9823,13
9824,11
9825,15
9826,16
9827,17
9828,16
9829,10
9830,7
9831,16
9832,12
9833,8
9834,19
9835,10
9836,19
9837,8
9838,13
9839,18
9840,6
9841,7
9842,20
9843,14
9844,8
9845,15
9846,18
9847,8
9848,16
9849,14
9850,15
9851,12
9852,13
9853,14
9854,21
9855,19
9856,17
9857,9
9858,16
9859,12
9860,13
9861,4
9862,10
9863,16
9864,18
9865,13
9866,14
9867,19
9868,14
9869,12
9870,16
9871,19
9872,12
9873,10
9874,16
9875,11
9876,19
9877,12
9878,36
9879,13
9880,16
9881,14
9882,19
9883,14
9884,15
9885,20
9886,16
9887,18
9888,7
9889,10
9890,3
9891,19
9892,7
9893,18
9894,6
9895,13
9896,14
9897,4
9898,11
9899,16
9900,9
9901,14
9902,16
9903,17
9904,16
9905,14
9906,20
9907,17
9908,10
9909,16
9910,15
9911,15
9912,19
9913,37
9914,9
9915,12
9916,4
9917,10
9918,22
9919,11
9920,15
9921,20
9922,17
9923,11
9924,6
9925,19
9926,10
9927,11
9928,9
9929,13
9930,12
9931,14
9932,15
9933,4
9934,17
9935,14
9936,12
9937,13
9938,10
9939,19
9940,18
9941,11
9942,11
9943,16
9944,7
9945,11
9946,12
9947,7
9948,20
9949,18
9950,14
9951,10
9952,8
9953,14
9954,15
9955,12
9956,18
9957,14
9958,20
9959,15
9960,17
9961,15
9962,15
9963,11
9964,20
9965,14
9966,14
9967,18
9968,11
9969,19
9970,6
9971,6
9972,14
9973,9
9974,17
9975,12
9976,12
9977,11
9978,11
9979,10
9980,21
9981,20
9982,14
9983,18
9984,6
9985,3
9986,16
9987,15
9988,17
9989,17
9990,19
9991,19
9992,11
9993,19
9994,10
9995,9
9996,14
9997,14
9998,5
9999,16
10000,11
10001,16
10002,7
10003,13
10004,9
10005,16
10006,21
10007,7
10008,11
10009,19
10010,9
10011,11
10012,12
10013,12
10014,12
10015,8
10016,8
10017,19
10018,18
10019,18
10020,12
10021,14
10022,12
10023,12
10024,20
10025,12
10026,13
10027,10
10028,16
10029,14
10030,4
10031,6
10032,18
10033,16
10034,18
10035,10
10036,15
10037,11
10038,14
10039,15
10040,12
10041,19
10042,14
10043,18
10044,12
10045,16
10046,17
10047,9
10048,12
10049,8
10050,14
10051,13
10052,14
10053,7
10054,10
10055,10
10056,17
