,idf_weights
people,3.2907930102035046
food,3.305615179721914
water,3.35195170911776
help,3.3873854545674402
need,3.421954171806064
please,3.6239484941987232
earthquake,3.6776846444512423
area,3.836387949896989
u,3.857075489497116
like,3.9024017602128827
would,3.9281010035204638
said,4.032066123756019
country,4.117268200451099
know,4.202112729355639
also,4.209221764034745
government,4.288373073640046
one,4.311811646612064
information,4.335812798711606
haiti,4.337163237809477
000,4.345304395393178
rain,4.364562211997592
flood,4.389880019981883
year,4.395594321245321
house,4.399901578442901
find,4.412935796281808
tent,4.46376886208104
family,4.4996821673072525
good,4.506061774271291
aid,4.541896227280509
day,4.577342976276256
relief,4.582510946434699
get,4.592927707292954
sandy,4.594674432627896
supply,4.601692005286543
two,4.603454120279942
affected,4.60521934580451
child,4.630265377730598
urlplaceholder,4.665291999841848
message,4.667169934666049
many,4.672824992149394
thank,4.682321739686651
region,4.68998461243222
well,4.691909540841804
health,4.729205325585502
school,4.745334707515385
home,4.770027320105757
new,4.7721128265967785
since,4.776296933119353
state,4.786834438422138
time,4.795345128090046
2,4.8017760184203375
work,4.803928871781438
1,4.803928871781438
shelter,4.834565841243328
go,4.843494471987629
victim,4.852503541929995
province,4.8638802289121035
community,4.8638802289121035
want,4.866171180658659
emergency,4.868467392919009
village,4.873075696005204
city,4.875387835763583
disaster,4.9035587127302795
give,4.905942504085555
district,4.9155349037769955
million,4.925220209511458
hit,4.932546249603532
road,4.94487686206101
including,4.947361335388672
power,4.954852007117831
local,4.97255158421723
storm,4.98280808438442
last,4.9931708714199665
international,4.998392815401118
send,5.003642171287262
5,5.006277218925267
part,5.006277218925267
still,5.014224280617799
support,5.027611361400258
could,5.030310418369424
disease,5.038451575953123
3,5.043916070425202
make,5.046659556370953
due,5.054935465674813
hurricane,5.0716956345322775
crop,5.0716956345322775
may,5.074516510873919
team,5.085880269524234
system,5.091610944233219
week,5.091610944233219
job,5.100269006976333
assistance,5.103171766634295
take,5.103171766634295
thanks,5.109002686945088
http,5.1178133166272435
street,5.1207675285246745
santiago,5.129682892182627
three,5.132672431030993
heavy,5.138678455091205
river,5.1416950486306305
live,5.144720769547168
destroyed,5.144720769547168
service,5.1477556732423215
number,5.15385325311044
say,5.156916042640986
problem,5.19124078518206
note,5.19124078518206
month,5.1976102334675405
effort,5.1976102334675405
10,5.2104721471099475
come,5.213713641034119
port,5.213713641034119
south,5.216965676420497
official,5.2235016474002816
life,5.230080618498325
national,5.2433698506170066
medical,5.250081285204994
7,5.256838067667873
4,5.260233656669012
united,5.263640814990626
place,5.263640814990626
high,5.263640814990626
building,5.267059621739412
around,5.270490156836201
nation,5.277386735895261
north,5.280852943871747
group,5.280852943871747
quake,5.287821613187841
person,5.287821613187841
camp,5.287821613187841
project,5.298366526364456
provide,5.305458754673948
living,5.305458754673948
anything,5.309023820838444
report,5.312601642186328
world,5.3161923103170565
hospital,5.323412558290544
response,5.3380113577116965
situation,5.341694603127992
thousand,5.349102044405854
much,5.356564765607444
tsunami,5.356564765607444
flooding,5.360317115225994
lot,5.364083598021471
first,5.364083598021471
going,5.371659391829929
organization,5.371659391829929
condition,5.375468920246597
already,5.375468920246597
drought,5.379293016685
even,5.390853839086076
working,5.390853839086076
call,5.406479156989157
red,5.41438433649627
au,5.41836048487591
woman,5.41836048487591
weather,5.422352506145447
care,5.422352506145447
caused,5.422352506145447
distribution,5.430384677842711
de,5.430384677842711
left,5.430384677842711
level,5.438481888075331
received,5.438481888075331
pakistan,5.438481888075331
agency,5.442555213462966
see,5.442555213462966
according,5.450751980667145
reported,5.459016490517039
operation,5.463174500665702
authority,5.467349872076182
8,5.467349872076182
damage,5.471542750336218
6,5.471542750336218
population,5.479981618982084
across,5.479981618982084
humanitarian,5.479981618982084
god,5.4842279098635345
today,5.4842279098635345
important,5.488492308649992
way,5.492774970441993
prince,5.492774970441993
development,5.4970760523413835
12,5.4970760523413835
morning,5.505734115084498
lost,5.5188634065262905
northern,5.5188634065262905
cross,5.5188634065262905
southern,5.523278424735407
made,5.527713021803273
security,5.527713021803273
hello,5.532167372152654
major,5.536641652547575
central,5.536641652547575
damaged,5.536641652547575
near,5.545650722489941
several,5.5547416941911925
fund,5.559318361218605
west,5.559318361218605
rt,5.563916070467234
un,5.563916070467234
january,5.563916070467234
along,5.568535016323528
provided,5.577837408985842
20,5.582521258298268
back,5.587227149335681
least,5.587227149335681
never,5.591955290531627
season,5.596705893290225
nothing,5.596705893290225
another,5.6062753443063755
use,5.611094630742325
centre,5.611094630742325
blanket,5.611094630742325
risk,5.615937255218112
case,5.615937255218112
rice,5.615937255218112
hour,5.620803444869285
cyclone,5.620803444869285
winter,5.625693430163477
bit,5.630607444965906
activity,5.630607444965906
refugee,5.630607444965906
town,5.630607444965906
without,5.635545726606488
right,5.635545726606488
facility,5.650508599283201
island,5.650508599283201
death,5.650508599283201
chile,5.655546393313158
public,5.655546393313158
force,5.660609695269705
tell,5.665698764777177
military,5.665698764777177
killed,5.665698764777177
needed,5.675955264944365
news,5.675955264944365
card,5.675955264944365
wind,5.675955264944365
zone,5.681123235102808
programme,5.681123235102808
ly,5.686318051979912
worker,5.6915399959610635
100,5.6915399959610635
long,5.6915399959610635
land,5.696789351847207
center,5.696789351847207
non,5.696789351847207
following,5.712704807153107
used,5.712704807153107
night,5.712704807153107
providing,5.712704807153107
resident,5.718066750294492
must,5.723457598929368
china,5.7288776663987075
rainfall,5.7288776663987075
hygiene,5.745316392741867
temperature,5.750856573117483
four,5.750856573117483
set,5.7564276181669385
next,5.7564276181669385
office,5.7564276181669385
severe,5.762029873715608
away,5.762029873715608
15,5.762029873715608
program,5.762029873715608
result,5.773329428969542
drinking,5.773329428969542
medicine,5.773329428969542
coming,5.773329428969542
30,5.779027450084179
fire,5.779027450084179
evening,5.784758124793164
survivor,5.784758124793164
continue,5.784758124793164
large,5.790521829509914
member,5.790521829509914
capital,5.790521829509914
equipment,5.790521829509914
africa,5.790521829509914
dead,5.790521829509914
found,5.796318947194241
died,5.796318947194241
hunger,5.802149867505033
small,5.802149867505033
open,5.802149867505033
possible,5.808014986957431
yet,5.808014986957431
however,5.808014986957431
material,5.808014986957431
little,5.808014986957431
recent,5.81391470908462
outbreak,5.819849444604435
human,5.819849444604435
early,5.825819611590938
rescue,5.825819611590938
electricity,5.83182563565115
cause,5.837867950107113
expected,5.837867950107113
plan,5.837867950107113
farmer,5.850063223200931
500,5.850063223200931
baby,5.850063223200931
five,5.850063223200931
wfp,5.856217088775309
item,5.856217088775309
management,5.856217088775309
sanitation,5.868639608773867
access,5.868639608773867
every,5.874909221787462
hungry,5.874909221787462
50,5.8812183909807265
hand,5.887567618659386
hundred,5.887567618659386
thing,5.887567618659386
think,5.893957416758156
answer,5.893957416758156
safe,5.893957416758156
ask,5.893957416758156
kit,5.893957416758156
let,5.900388307088447
sleep,5.900388307088447
temporary,5.900388307088447
phone,5.900388307088447
money,5.900388307088447
bring,5.900388307088447
ground,5.900388307088447
general,5.906860821594064
sent,5.906860821594064
plant,5.906860821594064
site,5.906860821594064
june,5.906860821594064
clothing,5.913375502615258
donation,5.919932903161417
asking,5.919932903161417
line,5.926533587192769
east,5.926533587192769
crisis,5.933178129911438
delmas,5.933178129911438
carrefour,5.933178129911438
helicopter,5.933178129911438
coast,5.933178129911438
displaced,5.939867118062234
source,5.939867118062234
afghanistan,5.939867118062234
ministry,5.939867118062234
cold,5.939867118062234
production,5.946601150243578
resource,5.953380837228957
body,5.960206802299357
receive,5.960206802299357
snow,5.960206802299357
got,5.960206802299357
haitian,5.967079681587119
etc,5.967079681587119
student,5.967079681587119
monsoon,5.974000124431693
mission,5.974000124431693
eat,5.974000124431693
unicef,5.974000124431693
main,5.987986366406433
put,5.987986366406433
end,5.995053533629525
worst,5.995053533629525
clean,5.995053533629525
tuesday,5.995053533629525
agricultural,5.995053533629525
department,6.0021710013983895
told,6.0021710013983895
others,6.0021710013983895
sleeping,6.0021710013983895
9,6.0021710013983895
eastern,6.0021710013983895
include,6.009339490877002
something,6.009339490877002
control,6.009339490877002
police,6.009339490877002
aftershock,6.016559738850488
11,6.016559738850488
poor,6.016559738850488
capacity,6.016559738850488
200,6.023832498179568
india,6.023832498179568
field,6.023832498179568
addition,6.031158538271641
waiting,6.031158538271641
staff,6.031158538271641
la,6.031158538271641
unit,6.038538645569264
based,6.038538645569264
household,6.038538645569264
past,6.038538645569264
4636,6.045973624056782
election,6.045973624056782
post,6.045973624056782
six,6.045973624056782
someone,6.045973624056782
president,6.045973624056782
army,6.05346429578594
clothes,6.05346429578594
able,6.05346429578594
air,6.05346429578594
infrastructure,6.061011501421323
among,6.061011501421323
increase,6.061011501421323
october,6.061011501421323
bridge,6.068616100806542
agriculture,6.068616100806542
change,6.068616100806542
landslide,6.068616100806542
order,6.076278973552111
far,6.076278973552111
training,6.0840010196460215
scale,6.0917831600880765
available,6.0917831600880765
minister,6.0917831600880765
march,6.0917831600880765
strong,6.099626337549102
address,6.099626337549102
volunteer,6.099626337549102
distributed,6.107531517056215
start,6.107531517056215
low,6.107531517056215
prevent,6.107531517056215
friend,6.107531517056215
location,6.115499686705392
love,6.115499686705392
called,6.115499686705392
natural,6.115499686705392
total,6.115499686705392
station,6.115499686705392
partner,6.123531858402656
political,6.123531858402656
tree,6.1316290686352755
seed,6.1316290686352755
per,6.1316290686352755
0,6.1316290686352755
july,6.139792379274437
hope,6.139792379274437
assessment,6.139792379274437
magnitude,6.139792379274437
border,6.148022878410952
treatment,6.148022878410952
keep,6.148022878410952
lack,6.148022878410952
especially,6.148022878410952
term,6.156321681225648
concern,6.156321681225648
dying,6.156321681225648
wave,6.156321681225648
ngo,6.164689930896164
economic,6.164689930896164
regional,6.164689930896164
really,6.173128799542028
killing,6.173128799542028
sea,6.173128799542028
monday,6.173128799542028
rural,6.181639489209937
malaria,6.181639489209937
massive,6.181639489209937
second,6.190223232901329
party,6.190223232901329
everything,6.198881295644443
fever,6.198881295644443
livestock,6.198881295644443
better,6.198881295644443
mean,6.198881295644443
came,6.198881295644443
coastal,6.198881295644443
impact,6.198881295644443
old,6.198881295644443
oil,6.198881295644443
increased,6.198881295644443
indonesia,6.198881295644443
25,6.207614975613198
suffering,6.207614975613198
climate,6.207614975613198
april,6.207614975613198
pas,6.207614975613198
product,6.207614975613198
big,6.216425605295353
route,6.216425605295353
ensure,6.216425605295353
infection,6.225314552712599
committee,6.225314552712599
education,6.225314552712599
wednesday,6.225314552712599
radio,6.2342832226953595
info,6.2342832226953595
particularly,6.2342832226953595
harvest,6.2342832226953595
sunday,6.2342832226953595
outside,6.2342832226953595
mosquito,6.2342832226953595
basic,6.2342832226953595
serious,6.243333058215277
14,6.243333058215277
18,6.243333058215277
thursday,6.243333058215277
patient,6.243333058215277
afp,6.243333058215277
percent,6.243333058215277
13,6.25246554177855
reach,6.25246554177855
vulnerable,6.25246554177855
campaign,6.25246554177855
warning,6.25246554177855
construction,6.25246554177855
donor,6.2616821968834735
given,6.2616821968834735
hurricanesandy,6.2616821968834735
n,6.2616821968834735
bank,6.2616821968834735
within,6.270984589545788
attack,6.270984589545788
located,6.270984589545788
getting,6.270984589545788
nearly,6.270984589545788
concepcion,6.270984589545788
urgent,6.270984589545788
additional,6.2803743298956265
40,6.28985307385017
doctor,6.28985307385017
august,6.28985307385017
cut,6.28985307385017
plastic,6.28985307385017
immediate,6.28985307385017
nyc,6.28985307385017
aceh,6.299422524866321
american,6.299422524866321
ebola,6.299422524866321
network,6.299422524866321
loss,6.299422524866321
mountain,6.299422524866321
issue,6.299422524866321
le,6.3090844357780576
24,6.3090844357780576
currently,6.3090844357780576
maize,6.3090844357780576
spread,6.3090844357780576
hi,6.318840610723423
done,6.318840610723423
mali,6.318840610723423
leogane,6.318840610723423
company,6.318840610723423
reconstruction,6.318840610723423
conflict,6.318840610723423
civilian,6.318840610723423
return,6.318840610723423
using,6.318840610723423
sheet,6.318840610723423
km,6.328692907166434
western,6.328692907166434
collapsed,6.328692907166434
stay,6.328692907166434
animal,6.328692907166434
section,6.328692907166434
action,6.328692907166434
started,6.338643238019602
current,6.338643238019602
close,6.338643238019602
